,Learning Community Title,,CRN,Subject,Course #,Liberal Learning  Attribute,Day,Time,NOTES,,,,,,,,,,,,,,,,
26,Fostering Learning in Young Minds,20,8171,CPSC,110,LLFR,MW,1800-1915,,,,,,,,,,,,,,,,,
26,Fostering Learning in Young Minds,20,8893,PSYC,208,,TR,0930-1045,For students interested in Teaching Only,,,,,,,,,,,,,,,,
27,Fostering Learning in Young Minds,18,8575,FNAR,201,AICE,TR,1100-1215,,,,,,,,,,,,,,,,,
27,Fostering Learning in Young Minds,18,8469,AMST,100,AIDE,MWF,1200-1250,,,,,,,,,,,,,,,,,
27,Fostering Learning in Young Minds,18,8895,PSYC,208,,MWF,0800-0850,For students interested in Teaching Only,,,,,,,,,,,,,,,,
28,Fostering Learning in Young Minds (ILC),16,9187,THEA,210,AICE,MWF,1100-1150,Not for THEA Majors,,,,,,,,,,,,,,,,
28,Fostering Learning in Young Minds (ILC),16,9105,ENGL,123,LLFW,TR,0930-1045,ILC: Apolloni,,,,,,,,,,,,,,,,
28,Fostering Learning in Young Minds (ILC),16,8894,PSYC,208,,MWF,0900-0950,For students interested in Teaching Only,,,,,,,,,,,,,,,,
29,Getting to Know the Liberal Arts (ILC),16,8345,MATH,115,LLFM,MWF,1500-1550,No Athletes,,,,,,,,,,,,,,,,
29,Getting to Know the Liberal Arts (ILC),16,8623,HIST,122,AIWT,TR,1100-1215,ILC: Allison,,,,,,,,,,,,,,,,
30,Getting to Know the Liberal Arts,19,8349,MATH,125,LLFM,MWF,1000-1050,,,,,,,,,,,,,,,,,
30,Getting to Know the Liberal Arts,19,9188,THEA,210,AICE,TR,0930-1045,Not for THEA Majors,,,,,,,,,,,,,,,,
30,Getting to Know the Liberal Arts,19,8412,ECON,201,LLFE,TR,1330-1445,SUPER,,,,,,,,,,,,,,,,
31,Getting to Know the Liberal Arts,16,8415,ECON,201,LLFE,T ,1800-2100,Use Sparingly,,,,,,,,,,,,,,,,
31,Getting to Know the Liberal Arts,16,9113,ENGL,123,LLFW,MWF,1000-1050,,,,,,,,,,,,,,,,,
31,Getting to Know the Liberal Arts,16,8298,POLS,101,AIDE,MWF,1500-1550,No Athletes,,,,,,,,,,,,,,,,
32,Getting to Know the Liberal Arts (ILC),18,9228,POLS,101,AIDE,TR,1330-1445,,,,,,,,,,,,,,,,,
32,Getting to Know the Liberal Arts (ILC),18,8346,MATH,115,LLFM,TR,0930-1045,,,,,,,,,,,,,,,,,
32,Getting to Know the Liberal Arts (ILC),18,8845,RSTD,236,AIWT,MW ,1600-1715,ILC: Redick No Athletes,,,,,,,,,,,,,,,,
33,Getting to Know the Liberal Arts,18,8412,ECON,201,LLFE,TR,1330-1445,,,,,,,,,,,,,,,,,
33,Getting to Know the Liberal Arts,18,8534,SOCL,205,,MWF,0800-0850,only for those who need it,,,,,,,,,,,,,,,,
33,Getting to Know the Liberal Arts ,18,8577,FNAR,201,AICE,TR,1630-1745,No Athletes,,,,,,,,,,,,,,,,
34,Getting to Know the Liberal Arts,18,8576,FNAR,201,AICE,TR,1330-1145,,,,,,,,,,,,,,,,,
34,Getting to Know the Liberal Arts,18,8806,PHIL,201,AIGM,TR,1100-1215,,,,,,,,,,,,,,,,,
34,Getting to Know the Liberal Arts,18,8414,ECON,201,LLFE,M,1800-2100,*USE SPARINGLY,,,,,,,,,,,,,,,,
35,HONR: Myth Matters (ILC),16,9081,HONR,100,HON,MWF,1400-1450,ILC: Thompson,,,,,,,,,,,,,,,,
35,HONR: Myth Matters (ILC),16,9066,HONR,010,,,,,,,,,,,,,,,,,,,,
36,HONR: Exploring Emerging Adulthood (ILC),16,9084,HONR ,100,HON,MWF,1100-1150,ILC: Meyer,,,,,,,,,,,,,,,,
36,HONR: Exploring Emerging Adulthood (ILC),16,9066,HONR ,010,,,,,,,,,,,,,,,,,,,,
37,HONR: Women Scientists Drama/Cinema,16,9086,HONR,100,HON,TR,1330-1445,,,,,,,,,,,,,,,,,
37,HONR: Women Scientists Drama/Cinema,16,9066,HONR,010,,,,,,,,,,,,,,,,,,,,
38,HONR: The Rhetorics of Expertise,16,9082,HONR,100,HON,TR,1500-1615,No Athletes,,,,,,,,,,,,,,,,
38,HONR: The Rhetorics of Expertise,16,9068,HONR,010,,,,,,,,,,,,,,,,,,,,
39,HONR: The Quest for Camelot,16,9083,HONR,100,HON,TR,0930-1045,,,,,,,,,,,,,,,,,
39,HONR: The Quest for Camelot,16,9068,HONR,010,,,,,,,,,,,,,,,,,,,,
40,HONR: Science and Controversy,16,9085,HONR,100,HON,TR,0930-1045,,,,,,,,,,,,,,,,,
40,HONR: Science and Controversy,16,9069,HONR,010,,,,,,,,,,,,,,,,,,,,
41,HONR: Early Field Experience in Education,16,9080,HONR,100,HON,MWF,1000-1050,,,,,,,,,,,,,,,,,
41,HONR: Early Field Experience in Education,16,9069,HONR,010,,,,,,,,,,,,,,,,,,,,
42,Law and Constitution ,18,8472,AMST,100,AIDE,MWF,0900-0950,PRE-LAW,,,,,,,,,,,,,,,,
42,Law and Constitution ,18,8475,AMST,120,AIDE,TR,0930-1045,PRE-LAW,,,,,,,,,,,,,,,,
43,Law and Constitution ,18,8607,HIST,112,AIGM,MWF,1100-1150,,,,,,,,,,,,,,,,,
43,Law and Constitution ,18,8305,POLS,215,,TR,1330-1445,POLS Majors,,,,,,,,,,,,,,,,
44,"Leadership, Group, and Self (ILC)",20,8887,PSYC,201,AINW,MWF,1100-1150,PLP ONLY ENTIRE ILC,,,,,,,,,,,,,,,,
44,"Leadership, Group, and Self (ILC)",20,8482,LDSP,210,,TR,0930-1045,ILC: Throupe,,,,,,,,,,,,,,,,
44,"Leadership, Group, and Self (ILC)",16,8437,COMM,201,,MW,1800-1915,COMM Majors or Interest in Teaching,,,,,,,,,,,,,,,,
45,"Leadership, Group, and Self (ILC)",16,8533,SOCL,201,AIGM,W,1800-2045,PLP ONLY ENTIRE ILC,,,,,,,,,,,,,,,,
45,"Leadership, Group, and Self (ILC)",16,8483,LDSP,210,,MWF ,0900-0950,ILC: Cusher,,,,,,,,,,,,,,,,
45,"Leadership, Group, and Self (ILC)",16,8628,HIST,122,AIWT,TR,1500-1615, No Athletes,,,,,,,,,,,,,,,,
46,"Leadership, Group, and Self (ILC)",16,9300,POLS,101,AIDE,TR,0930-1045,PLP ONLY ENTIRE ILC,,,,,,,,,,,,,,,,
46,"Leadership, Group, and Self (ILC)",16,8481,LDSP,210,,MWF,1500-1550,ILC: Callahan (No Athletes),,,,,,,,,,,,,,,,
46,"Leadership, Group, and Self (ILC)",16,9323,ANTH,203,AIGM,TR,1630-1745,No Athletes,,,,,,,,,,,,,,,,
47,"Leadership, Group, and Self (ILC)",19,8297,POLS,101,AIDE,MWF,1400-1450,PLP ONLY ENTIRE ILC,,,,,,,,,,,,,,,,
47,"Leadership, Group, and Self (ILC)",19,8489,LDSP,210,,TR,1500-1615,ILC: Waters (No athletes),,,,,,,,,,,,,,,,
48,Let's Get Down to Business,19,8352,MATH,125,LLFM,MWF,1200-1250,closed Section,,,,,,,,,,,,,,,,
48,Let's Get Down to Business,19,8413,ECON,201,LLFE,TR,1100-1215,,,,,,,,,,,,,,,,,
48,Let's Get Down to Business,19,8823,PHIL,207,LLFR,MWF,1500-1550,No Athletes,,,,,,,,,,,,,,,,
49,Let's Get Down to Business,20,8419,ECON,202,LLFE,M,1800-2100,,,,,,,,,,,,,,,,,
49,Let's Get Down to Business,20,8822,PHIL,207,LLFR,TR,1500-1615,No Athletes,,,,,,,,,,,,,,,,
