dd,Learning Community Title,,CRN,Subject,Course #,Liberal Learning  Attribute,Day,Time,NOTES,,,,,,,,,,,,,,,
27,Getting to Know the Liberal Arts,16,8841,HIST,121,AIDE,MWF,1100-1150,,,,,,,,,,,,,,,,
28,Getting to Know the Liberal Arts,19,8391,MATH,125,LLFM,MWF,1300-1350,,,,,,,,,,,,,,,,
28,Getting to Know the Liberal Arts,19,9150,THEA,210,AICE,TR,0930-1045,,,,,,,,,,,,,,,,
28,Getting to Know the Liberal Arts,19,8622,ECON,201,LLFE,MW,1600-1715,,,,,,,,,,,,,,,,
29,Getting to Know the Liberal Arts,19,8627,ECON,201,LLFE,R,1800-2100,,,,,,,,,,,,,,,,
29,Getting to Know the Liberal Arts,19,8655,FNAR,202,AICE,MWF,1100-1150,,,,,,,,,,,,,,,,
29,Getting to Know the Liberal Arts,19,8518,POLS,101,AIDE,MWF,1000-1050,,,,,,,,,,,,,,,,
30,Getting to Know the Liberal Arts,18,8518,POLS,101,AIDE,MWF,1000-1050,,,,,,,,,,,,,,,,
30,Getting to Know the Liberal Arts,18,8384,MATH,115,LLFM,MWF,1300-1350,,,,,,,,,,,,,,,,
30,Getting to Know the Liberal Arts,18,8809,RSTD,212,AIWT,MW,1600-1715,,,,,,,,,,,,,,,,
31,Getting to Know the Liberal Arts,18,9311,ECON,200,LLFE,MWF,1000-1050,,,,,,,,,,,,,,,,
31,Getting to Know the Liberal Arts,18,8557,SOCL,205,,MWF,0800-0850,,,,,,,,,,,,,,,,
31,Getting to Know the Liberal Arts ,18,8651,FNAR,201,AICE,TR,1330-1445,,,,,,,,,,,,,,,,
32,Getting to Know the Liberal Arts (ILC),16,8936,CLST,212,AIWT,MWF,0900-0950,ILC: Pollio,,,,,,,,,,,,,,,
32,Getting to Know the Liberal Arts (ILC),16,8651,FNAR,201,AICE,TR,1330-1445,,,,,,,,,,,,,,,,
32,Getting to Know the Liberal Arts (ILC),16,8775,PHIL,201,AIGM,MWF,1200-1250,,,,,,,,,,,,,,,,
33,HONR: Myth Matters (ILC),16,8230,HONR,100,HON,MWF,1400-1450,ILC: Thompson,,,,,,,,,,,,,,,
33,HONR: Myth Matters (ILC),16,8217,HONR,010,,,,,,,,,,,,,,,,,,,
34,HONR: Science with Conscience,16,8232,HONR ,100,HON,MWF,1100-1150,,,,,,,,,,,,,,,,
34,HONR: Science with Conscience,16,8217,HONR ,010,,,,,,,,,,,,,,,,,,,
35,HONR: Moctezuma & 'Conquest' Mexico,16,9172,HONR,100,HON,MW,1600-1715,,,,,,,,,,,,,,,,
35,HONR: Moctezuma & 'Conquest' Mexico,16,8217,HONR,010,,,,,,,,,,,,,,,,,,,
36,HONR: The Rhetorics of Expertise,16,8231,HONR,100,HON,TR,1100-1215,,,,,,,,,,,,,,,,
36,HONR: The Rhetorics of Expertise,16,8218,HONR,010,,,,,,,,,,,,,,,,,,,
37,HONR: Myth Matters   ,16,9260,HONR,100,HON,MWF,1100-1150,,,,,,,,,,,,,,,,
37,HONR: Myth Matters   ,16,8218,HONR,010,,,,,,,,,,,,,,,,,,,
38,HONR: Science and Controversy,16,8233,HONR,100,HON,MW,1600-1715,,,,,,,,,,,,,,,,
38,HONR: Science and Controversy,16,8219,HONR,010,,,,,,,,,,,,,,,,,,,
39,HONR: Early Field Experience in Education,16,8229,HONR,100,HON,MWF,1000-1050,,,,,,,,,,,,,,,,
39,HONR: Early Field Experience in Education,16,8219,HONR,010,,,,,,,,,,,,,,,,,,,
40,How Things Work,18,8450,PHYS,141,AINW,TR,0930-1045,,,,,,,,,,,,,,,,
40,How Things Work,18,9310,ECON,200,LLFE,MWF,1100-1150,,,,,,,,,,,,,,,,
41,How Things Work,15,8995,SPAN,200,LLFL,MWF,1200-1250,,,,,,,,,,,,,,,,
41,How Things Work,18,8450,PHYS,141,AINW,TR,0930-1045,,,,,,,,,,,,,,,,
41,How Things Work,18,9191,ENGL,123,LLFW,MWF,1300-1350,,,,,,,,,,,,,,,,
42,How Things Work,18,8383,MATH,115,LLFM,MWF,1100-1150,,,,,,,,,,,,,,,,
42,How Things Work,18,8449,PHYS,141,AINW,TR,1500-1615,,,,,,,,,,,,,,,,
43,Law and Constitution ,18,9209,AMST,100,AIDE,MWF,1100-1150,,,,,,,,,,,,,,,,
43,Law and Constitution ,18,8886,AMST,120,AIDE,TR,0930-1045,,,,,,,,,,,,,,,,
44,Law and Constitution ,18,9204,HIST,217,AIDE,MW,1600-1715,,,,,,,,,,,,,,,,
44,Law and Constitution ,18,8528,POLS,215,,T,1800-2100,,,,,,,,,,,,,,,,
44,Law and Constitution ,18,8990,SPAN,200,LLFL,MW,1800-1915,,,,,,,,,,,,,,,,
45,"Leadership, Group, and Self (ILC)",20,8894,LDSP,210,,TR,1100-1215,ILC: Throupe (PLP only),,,,,,,,,,,,,,,
45,"Leadership, Group, and Self (ILC)",20,8453,PSYC,201,AINW,MWF,1100-1150,,,,,,,,,,,,,,,,
45,"Leadership, Group, and Self (ILC)",16,8010,COMM,201,,TR,1800-1915,,,,,,,,,,,,,,,,
46,"Leadership, Group, and Self (ILC)",16,8895,LDSP,210,,MWF,0900-0950,ILC: Cusher (PLP ONLY),,,,,,,,,,,,,,,
46,"Leadership, Group, and Self (ILC)",16,8994,SPAN,200,LLFL,TR,1800-1915,,,,,,,,,,,,,,,,
46,"Leadership, Group, and Self (ILC)",16,8838,HIST,112,AIGM,MWF,1100-1150,,,,,,,,,,,,,,,,
47,"Leadership, Group, and Self (ILC)",16,8892,LDSP,210,,MWF,1400-1450,ILC: Callahan (PLP ONLY),,,,,,,,,,,,,,,
47,"Leadership, Group, and Self (ILC)",16,8521,POLS,101,AIDE,MWF,1300-1350,,,,,,,,,,,,,,,,
47,"Leadership, Group, and Self (ILC)",16,8552,ANTH,203,AIGM,TR,1630-1745,,,,,,,,,,,,,,,,
48,"Leadership, Group, and Self (ILC)",16,8898,LDSP,210,,TR,1330-1445,ILC: Waters (PLP ONLY),,,,,,,,,,,,,,,
48,"Leadership, Group, and Self (ILC)",16,8522,POLS,101,AIDE,MWF,1400-1450,,,,,,,,,,,,,,,,
49,Let's Get Down to Business (ILC),20,8388,MATH,125,LLFM,MWF,0800-0850,ILC: Carpenter,,,,,,,,,,,,,,,
49,Let's Get Down to Business (ILC),20,8621,ECON,201,LLFE,TR,1100-1215,,,,,,,,,,,,,,,,
49,Let's Get Down to Business (ILC),20,8786,PHIL,207,LLFR,MW,1600-1715,,,,,,,,,,,,,,,,
50,Let's Get Down to Business,18,8629,ECON,202,LLFE,M,1800-2100,,,,,,,,,,,,,,,,
50,Let's Get Down to Business,18,8788,PHIL,207,LLFR,TR,1500-1615,,,,,,,,,,,,,,,,
51,Let's Get Down to Business,18,8392,MATH,125,LLFM,MWF,1400-1450,,,,,,,,,,,,,,,,
51,Let's Get Down to Business,18,8412,MATH,135,LLFM,MWF,1100-1150,,,,,,,,,,,,,,,,
51,Let's Get Down to Business,20,8628,ECON,202,LLFE,TR,1500-1615,,,,,,,,,,,,,,,,
51,Let's Get Down to Business,20,9214,PHIL,207,LLFR,MWF,0800-0850,,,,,,,,,,,,,,,,
52,Let's Get Down to Business,18,8626,ECON,201,LLFE,T,1800-2100,,,,,,,,,,,,,,,,
52,Let's Get Down to Business,18,8784,PHIL,207,LLFR,MW ,1800-1915,,,,,,,,,,,,,,,,
53,Let's Get Down to Business (ILC),16,8783,PHIL,207,LLFR,TR,1100-1215,ILC: Tweedt,,,,,,,,,,,,,,,
53,Let's Get Down to Business (ILC),16,8390,MATH,125,LLFM,MWF,1200-1250,,,,,,,,,,,,,,,,
53,Let's Get Down to Business (ILC),16,8628,ECON,202,LLFE,TR,1500-1615,,,,,,,,,,,,,,,,
54,Let's Get Down to Business ,16,8401,MATH,125,LLFM,TR,1630-1745,,,,,,,,,,,,,,,,
54,Let's Get Down to Business ,16,8415,MATH,135,LLFM,TR,1630-1745,,,,,,,,,,,,,,,,
54,Let's Get Down to Business,16,9236,BUSN,195,,MWF,1300-1350,,,,,,,,,,,,,,,,
54,Let's Get Down to Business ,16,8624,ECON,201,LLFE,M,1800-2100,,,,,,,,,,,,,,,,
55,"Music To My Ears, All Things Musical, The Sound of Music",16,9120,MUSC,211,,MWF,1000-1050,ILC: Hamm,,,,,,,,,,,,,,,
55,"Music To My Ears, All Things Musical, The Sound of Music",12,9400,MUSC,209,,TR,1100-1215,,,,,,,,,,,,,,,,
55,"Music To My Ears, All Things Musical, The Sound of Music",16,9078,MUSC,012,,ARR,,,,,,,,,,,,,,,,,
55,"Music To My Ears, All Things Musical, The Sound of Music",12,9119,MUSC,209,,TR,0930-1045,,,,,,,,,,,,,,,,
56,Navigating the Liberal Arts and Sciences ,18,8689,CPSC,110,LLFR,MWF,1500-1550,,,,,,,,,,,,,,,,
56,Navigating the Liberal Arts and Sciences,18,8652,FNAR,201,AICE,TR,1630-1745,,,,,,,,,,,,,,,,
56,Navigating the Liberal Arts and Sciences,18,8107,BIOL,115,AINW,MW,1600-1715,,,,,,,,,,,,,,,,
57,Navigating the Liberal Arts and Sciences ,18,8098,BIOL,107,AINW,TR,1800-1915,,,,,,,,,,,,,,,,
57,Navigating the Liberal Arts and Sciences ,18,8455,PSYC,202,,MWF,1400-1450,,,,,,,,,,,,,,,,
57,Navigating the Liberal Arts and Sciences,18,8654,FNAR,202,AICE,MWF,1000-1050,,,,,,,,,,,,,,,,
58,Pursuing the Liberal Arts and Sciences,16,9188,ENGL,123,LLFW,MWF,1000-1050,,,,,,,,,,,,,,,,
58,Pursuing the Liberal Arts and Sciences,16,8556,SOCL,201,AIGM,TR,1330-1445,,,,,,,,,,,,,,,,
58,Pursuing the Liberal Arts and Sciences,16,9174,CPSC,110,LLFR,MWF,1300-1350,,,,,,,,,,,,,,,,
59,Pursuing the Liberal Arts and Sciences,18,8386,MATH,115,LLFM,TR,1330-1445,,,,,,,,,,,,,,,,
59,Pursuing the Liberal Arts and Sciences,18,8856,HIST,214,AIWT,MWF,1200-1250,,,,,,,,,,,,,,,,
59,Pursuing the Liberal Arts and Sciences,18,8982,SPAN,200,LLFE,TR,1630-1745,,,,,,,,,,,,,,,,
60,Pursuing the Liberal Arts and Sciences (ILC),16,8611,IDST,267,AIGM,TR,1100-1215,ILC: Finley,,,,,,,,,,,,,,,
60,Pursuing the Liberal Arts and Sciences (ILC),16,8853,HIST,211,AICE,MWF,1200-1250,,,,,,,,,,,,,,,,
60,Pursuing the Liberal Arts and Sciences (ILC),16,8985,SPAN,200,LLFL,TR,1330-1445,,,,,,,,,,,,,,,,
61,The American Experiment (ILC),16,8877,AMST,100,AIDE,MWF,1200-1250,ILC: Garmon,,,,,,,,,,,,,,,
61,The American Experiment (ILC),16,8816,RSTD,236,AIWT,MW,2100-2215,,,,,.,,,,,,,,,,,
61,The American Experiment (ILC),16,8832,HIST,112,AIGM,TR,1330-1445,,,,,,,,,,,,,,,,
62,The American Experiment,19,8879,AMST,100,AIDE,TR,1330-1445,,,,,,,,,,,,,,,,
62,The American Experiment,19,8650,FNAR,201,AICE,TR,0930-1045,,,,,,,,,,,,,,,,
62,The American Experiment,19,9271,LDSP,210,,MWF,1200-1250,,,,,,,,,,,,,,,,
63,The American Experiment (ILC),16,8847,HIST,122,AIWT,TR,1100-1215,ILC: Puaca,,,,,,,,,,,,,,,
63,The American Experiment (ILC),16,8781,PHIL,205,LLFR,MW ,1930-2045,,,,,,,,,,,,,,,,
63,The American Experiment (ILC),16,8878,AMST,100,AIDE,MWF,1300-1350,,,,,,,,,,,,,,,,
64,The American Experiment (ILC),16,8848,HIST,122,AIWT,TR,0930-1045,ILC: Allison,,,,,,,,,,,,,,,
64,The American Experiment (ILC),16,8655,FNAR,202,AICE,MWF,1100-1150,,,,,,,,,,,,,,,,
64,The American Experiment (ILC),16,8884,AMST,100,AIDE,MWF,1400-1450,,,,,,,,,,,,,,,,
65,Understanding the Modern World,18,8456,PSYC,202,,TR,0930-1045,,,,,,,,,,,,,,,,
65,Understanding the Modern World,18,8997,SPAN,200,LLFL,MWF,1100-1150,,,,,,,,,,,,,,,,
65,Understanding the Modern World,18,8831,HIST,112,AIGM,TR,1100-1215,,,,,,,,,,,,,,,,
66,Understanding the Modern World (ILC),16,8909,LDSP,210,,MW ,1600-1715,ILC: Shollen (PLP only No Athletes),,,,,,,,,,,,,,,
66,Understanding the Modern World (ILC),16,8455,PSYC,202,,MWF,1400-1450,,,,,,,,,,,,,,,,
66,Understanding the Modern World (ILC),16,8835,HIST,112,AIGM,TR,1330-1445,,,,,,,,,,,,,,,,
67,Understanding the Modern World,18,8551,ANTH,203,AIGM,TR,1500-1615,,,,,,,,,,,,,,,,
67,Understanding the Modern World,18,8452,PSYC,201,AINW,MWF,1300-1350,,,,,,,,,,,,,,,,
68,Understanding the Modern World,19,8455,PSYC,202,,MWF,1400-1450,,,,,,,,,,,,,,,,
68,Understanding the Modern World,19,8836,HIST,112,AIGM,TR,1500-1615,,,,,,,,,,,,,,,,
68,Understanding the Modern World,19,8397,MATH,125,LLFM,MW ,1800-1915,,,,,,,,,,,,,,,,
69,Understanding the Modern World (ILC),16,9190,ENGL,123,LLFW,TR,1630-1745,ILC: Eleftheriou (NO ATHLETES),,,,,,,,,,,,,,,
69,Understanding the Modern World (ILC),16,8098,BIOL,107,AINW,TR,1800-1915,,,,,,,,,,,,,,,,
69,Understanding the Modern World (ILC),16,8802,RSTD,211,AIGM,MWF,0900-0950,,,,,,,,,,,,,,,,
70,Understanding the Modern World,18,8393,MATH,125,LLFM,MWF,1400-1450,,,,,,,,,,,,,,,,
70,Understanding the Modern World,18,8837,HIST,112,AIGM,MWF,1000-1050,,,,,,,,,,,,,,,,
71,All the World's a Stage ,18,9151,THEA,232,AICE,MW,1300-1415,,,,,,,,,,,,,,,,
71,All the World's a Stage,18,8807,RSTD,212,AIWT,MWF,1500-1550,,,,,,,,,,,,,,,,
72,Navigating the Liberal Arts and Sciences,18,8002,COLL,140,,MW,1300-1350,,,,,,,,,,,,,,,,
72,Navigating the Liberal Arts and Sciences,18,8689,CPSC,110,LLFR,MWF,1500-1550,,,,,,,,,,,,,,,,
72,Navigating the Liberal Arts and Sciences,5,8651,FNAR,201,AICE,TR,1330-1445,,,,,,,,,,,,,,,,
72,Navigating the Liberal Arts and Sciences,18,8098,BIOL,107,AINW,TR,1800-1915,,,,,,,,,,,,,,,,
,,1264,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
