CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,
"8667","MUSC 014","11","Woodwinds Masterclass","0","","Lab","","","ARR ","Hammers, Jason","-5","Closed","5","0","","","","",
"8668","MUSC 014","12","Woodwinds Masterclass","0","","Lab","","","ARR ","Longmire, Kelly","-1","Closed","1","0","","","","",
"8669","MUSC 014","13","Woodwinds Masterclass","0","","Lab","","","ARR ","Kim, Bokyung","-2","Closed","2","0","","","","",
"8670","MUSC 014","14","Organ Masterclass","0","","Lab","","","ARR ","Kwan, Kevin","-1","Closed","1","0","","","","",
"9349","MUSC 014","16","Woodwinds Masterclass","0","","Lab","","","ARR ","Savige, David","-1","Closed","1","0","","","","",
"9352","MUSC 014","17","Euphonium Masterclass","0","","Lab","","","ARR ","Cipriano, James","-1","Closed","1","0","","","","",
"9356","MUSC 014","18","Guitar Masterclass","0","","Lab","","","ARR ","Sully, Ballard","-1","Closed","1","0","","","","",
"8658","MUSC 014","2","Composition Masterclass","0","","Lab","W","1200-1250","FERG 213","Tfirn, Maxwell","-8","Closed","8","0","","","","",
"8659","MUSC 014","3","Horn Masterclass","0","","Lab","","","ARR ","Slater, Stephen","-2","Closed","2","0","","","","",
"8660","MUSC 014","4","Trombone Masterclass","0","","Lab","","","ARR ","Espy, Christopher","-2","Closed","2","0","","","","",
"8661","MUSC 014","5","Percussion Masterclass","0","","Lab","","","ARR ","Jacobson, James","-3","Closed","3","0","","","","",
"8662","MUSC 014","6","Piano Masterclass","0","","Lab","R","1230-1320","FERG R118","Corbin, Benjamin","-8","Closed","8","0","","","","",
"8663","MUSC 014","7","Strings Masterclass","0","","Lab","","","ARR ","Tews, Jacob","-4","Closed","4","0","","","","",
"8664","MUSC 014","8","Trumpet Masterclass","0","","Lab","W","1200-1250","FERG R106","Nixon, Mark","-3","Closed","3","0","","","","",
"8665","MUSC 014","9","Voice Masterclass","0","","Lab","","","ARR ","McGuire, John","-15","Closed","15","0","","","","",
"8672","MUSC 100","1","University Chorale","1","  AICE","Lab","TR","1630-1745","FERG R118","Irving, John","22","Open","27","49","","","","",
"8673","MUSC 101","1","Wind Ensemble","1","  AICE","Lab","TR","1630-1820","FERG R106","Reimer, Mark","24","Open","25","49","","","","",
"8674","MUSC 102","1","University Orchestra","1","  AICE","Lab","TR","1630-1745","FERG A183","Tews, Jacob","32","Open","17","49","","","","",
"8675","MUSC 103","1","Jazz Ensemble","1","  AICE","Lab","MWF","1300-1350","FERG R106","Rossum, Kelly","9","Open","15","24","","","","",
"8676","MUSC 104","1","Chamber Ensemble","1","","Lab","","","ARR ","Corbin, Benjamin","16","Open","3","19","","","","",
"8677","MUSC 104","2","Chamber Ensemble","1","","Lab","MF","1200-1250","FERG 213","Tfirn, Maxwell","2","Open","10","12","","","","",
"8678","MUSC 105","1","Chamber Choir","1","  AICE","Lab","","","ARR ","Irving, John","-14","Closed","14","0","","","","",
"8679","MUSC 107","1","Opera CNU","1","","Lab","MWF","1500-1700","FERG A183","McGuire, John; Matthews, Nathan","7","Open","12","19","","","","",
"8680","MUSC 108","1","Jazz Combo","1","","Lab","MWF","1400-1450","FERG R106","Hamm, Joseph","14","Open","5","19","","","","",
